"","WD24CD","wd_pop"
"1","E05000932",10806
"2","E05000933",10685
"3","E05000934",9962
"4","E05000935",12051
"5","E05000936",12839
"6","E05000937",12072
"7","E05000938",17767
"8","E05000939",10537
"9","E05000940",10540
"10","E05000941",15582
"11","E05000942",16233
"12","E05000943",9822
"13","E05000944",10583
"14","E05000945",10195
"15","E05000946",11939
"16","E05000947",13902
"17","E05000948",12752
"18","E05000949",10809
"19","E05000950",12144
"20","E05000951",9931
"21","E05000952",12506
"22","E05000953",12176
"23","E05000954",12915
"24","E05000955",15501
"25","E05000956",22038
"26","E05000957",19874
"27","E05000958",14399
"28","E05000959",12716
"29","E05000960",11869
"30","E05000961",12177
"31","E05000962",12494
"32","E05000963",13275
"33","E05000964",13077
"34","E05000965",14729
"35","E05000966",11526
"36","E05000967",12838
"37","E05000968",11446
"38","E05000969",10948
"39","E05000970",12299
"40","E05000971",13213
"41","E05000972",13582
"42","E05000973",19720
"43","E05000974",12733
"44","E05000975",10992
"45","E05000976",15028
"46","E05000977",10218
"47","E05000978",14232
"48","E05000979",9252
"49","E05000980",11393
"50","E05000981",10906
"51","E05000982",11240
"52","E05000983",9789
"53","E05000984",9613
"54","E05000985",8956
"55","E05000986",11603
"56","E05000987",11963
"57","E05000988",13322
"58","E05000989",11409
"59","E05000990",11746
"60","E05000991",10006
"61","E05000992",8952
"62","E05000993",10077
"63","E05000994",12621
"64","E05000995",11679
"65","E05000996",8590
"66","E05001067",9596
"67","E05001068",10186
"68","E05001069",13659
"69","E05001071",6882
"70","E05001072",7155
"71","E05001073",7733
"72","E05001074",9058
"73","E05001075",7183
"74","E05001076",9242
"75","E05001077",12344
"76","E05001078",10513
"77","E05001079",17575
"78","E05001080",7439
"79","E05001081",7556
"80","E05001082",7519
"81","E05001083",8383
"82","E05001084",7143
"83","E05001085",11794
"84","E05001086",6682
"85","E05001087",7477
"86","E05001088",6941
"87","E05001135",11250
"88","E05001136",7848
"89","E05001137",7202
"90","E05001138",9502
"91","E05001139",7110
"92","E05001140",6193
"93","E05001141",6613
"94","E05001142",7064
"95","E05001143",8620
"96","E05001144",8265
"97","E05001145",6984
"98","E05001146",6781
"99","E05001147",8296
"100","E05001148",9523
"101","E05001149",6614
"102","E05001150",7709
"103","E05001151",5813
"104","E05001152",6141
"105","E05001153",9123
"106","E05001154",10421
"107","E05001155",9855
"108","E05001156",8376
"109","E05001157",9755
"110","E05001158",13179
"111","E05001159",11690
"112","E05001160",11207
"113","E05001161",18337
"114","E05001162",9680
"115","E05001163",8695
"116","E05001164",10135
"117","E05001165",9804
"118","E05001166",9338
"119","E05001167",10917
"120","E05001168",8922
"121","E05001169",8637
"122","E05001170",10041
"123","E05001171",8842
"124","E05001172",12511
"125","E05001173",11392
"126","E05001174",12678
"127","E05001175",23980
"128","E05001176",9101
"129","E05001177",10559
"130","E05001218",18608
"131","E05001219",16511
"132","E05001220",16746
"133","E05001221",16007
"134","E05001222",24678
"135","E05001223",32110
"136","E05001224",16147
"137","E05001225",17252
"138","E05001226",18809
"139","E05001227",17165
"140","E05001228",35094
"141","E05001229",15272
"142","E05001230",15632
"143","E05001231",15853
"144","E05001232",21490
"145","E05001233",12503
"146","E05001234",14249
"147","E05001235",15412
"148","E05001260",10457
"149","E05001261",11382
"150","E05001262",10412
"151","E05001263",10287
"152","E05001264",15233
"153","E05001265",10691
"154","E05001266",10566
"155","E05001267",12894
"156","E05001268",18930
"157","E05001269",12827
"158","E05001270",12243
"159","E05001271",9542
"160","E05001272",10571
"161","E05001273",22120
"162","E05001274",12459
"163","E05001275",11331
"164","E05001276",19741
"165","E05001277",12863
"166","E05001278",20000
"167","E05001279",14385
"168","E05001280",10953
"169","E05001281",14648
"170","E05001282",17944
"171","E05001283",21958
"172","E05001284",22522
"173","E05001285",16182
"174","E05001286",9821
"175","E05001287",11959
"176","E05001288",10345
"177","E05001289",10179
"178","E05001290",11205
"179","E05001291",11460
"180","E05001292",22073
"181","E05001293",12348
"182","E05001294",11206
"183","E05001295",14561
"184","E05001296",10676
"185","E05001297",14955
"186","E05001298",11739
"187","E05001299",17483
"188","E05001300",10511
"189","E05001301",15400
"190","E05001302",11250
"191","E05001303",14634
"192","E05001304",18829
"193","E05001305",13611
"194","E05001306",12644
"195","E05001307",10694
"196","E05001308",13142
"197","E05001309",15267
"198","E05001310",10909
"199","E05001311",15915
"200","E05001312",8893
"201","E05001313",8988
"202","E05001314",19765
"203","E05001315",11590
"204","E05001316",21559
"205","E05001317",10852
"206","E05001318",11319
"207","E05001319",9639
"208","E05001320",18538
"209","E05001341",15254
"210","E05001342",16949
"211","E05001343",15956
"212","E05001344",15641
"213","E05001345",26882
"214","E05001346",22953
"215","E05001347",35575
"216","E05001348",17388
"217","E05001349",19732
"218","E05001350",17129
"219","E05001351",17490
"220","E05001352",18488
"221","E05001353",14915
"222","E05001354",16024
"223","E05001355",20243
